invoice_id,vendor_gstin,invoice_number,invoice_date,filing_period,taxable_value,cgst,sgst,igst,total_tax,total_invoice_value
INV00001,27KDDIS6778DGZY,INV/042025/00001,2025-04-01,04-2025,146835.53,0.0,0.0,26430.4,26430.4,173265.93
INV00002,27KDDIS6778DGZY,INV/082025/00002,2025-08-30,08-2025,222329.45,0.0,0.0,11116.47,11116.47,233445.92
INV00003,27KDDIS6778DGZY,INV/072025/00003,2025-07-09,07-2025,101950.85,0.0,0.0,12234.1,12234.1,114184.95
INV00004,27KDDIS6778DGZY,INV/042025/00004,2025-04-06,04-2025,237257.08,0.0,0.0,28470.85,28470.85,265727.93
INV00005,27KDDIS6778DGZY,INV/052025/00005,2025-05-21,05-2025,47451.28,0.0,0.0,5694.15,5694.15,53145.43
INV00006,27KDDIS6778DGZY,INV/072025/00006,2025-07-30,07-2025,233911.19,0.0,0.0,42104.01,42104.01,276015.2
INV00007,27KDDIS6778DGZY,INV/102025/00007,2025-10-16,10-2025,143524.41,0.0,0.0,7176.22,7176.22,150700.63
INV00008,27KDDIS6778DGZY,INV/062025/00008,2025-06-21,06-2025,65051.06,0.0,0.0,7806.13,7806.13,72857.19
INV00009,27KDDIS6778DGZY,INV/062025/00009,2025-06-13,06-2025,213167.72,0.0,0.0,38370.19,38370.19,251537.91
INV00010,27KDDIS6778DGZY,INV/112025/00010,2025-11-30,11-2025,202509.52,0.0,0.0,24301.14,24301.14,226810.66
INV00011,27KDDIS6778DGZY,INV/072025/00011,2025-07-28,07-2025,156988.35,0.0,0.0,43956.74,43956.74,200945.09
INV00012,27KDDIS6778DGZY,INV/082025/00012,2025-08-18,08-2025,245457.85,0.0,0.0,29454.94,29454.94,274912.79
INV00013,27KDDIS6778DGZY,INV/122025/00013,2025-12-22,12-2025,75440.88,0.0,0.0,3772.04,3772.04,79212.92
INV00014,27KDDIS6778DGZY,INV/072025/00014,2025-07-12,07-2025,219689.57,0.0,0.0,39544.12,39544.12,259233.69
INV00015,27KDDIS6778DGZY,INV/112025/00015,2025-11-09,11-2025,193846.64,0.0,0.0,54277.06,54277.06,248123.7
INV00016,27KDDIS6778DGZY,INV/072025/00016,2025-07-10,07-2025,178685.65,0.0,0.0,21442.28,21442.28,200127.93
INV00017,27KDDIS6778DGZY,INV/122025/00017,2025-12-02,12-2025,188945.72,0.0,0.0,52904.8,52904.8,241850.52
INV00018,27KDDIS6778DGZY,INV/072025/00018,2025-07-10,07-2025,226964.71,0.0,0.0,63550.12,63550.12,290514.83
INV00019,27KDDIS6778DGZY,INV/022026/00019,2026-02-12,02-2026,152474.73,0.0,0.0,27445.45,27445.45,179920.18
INV00020,27KDDIS6778DGZY,INV/082025/00020,2025-08-02,08-2025,103136.81,0.0,0.0,5156.84,5156.84,108293.65
INV00021,27KDDIS6778DGZY,INV/052025/00021,2025-05-17,05-2025,95906.98,0.0,0.0,11508.84,11508.84,107415.82
INV00022,27KDDIS6778DGZY,INV/112025/00022,2025-11-24,11-2025,34298.94,0.0,0.0,1714.95,1714.95,36013.89
INV00023,27KDDIS6778DGZY,INV/012026/00023,2026-01-28,01-2026,34712.98,0.0,0.0,4165.56,4165.56,38878.54
INV00024,27KDDIS6778DGZY,INV/112025/00024,2025-11-02,11-2025,18297.75,0.0,0.0,5123.37,5123.37,23421.12
INV00025,27KDDIS6778DGZY,INV/112025/00025,2025-11-21,11-2025,199196.11,0.0,0.0,35855.3,35855.3,235051.41
INV00026,27KDDIS6778DGZY,INV/012026/00026,2026-01-02,01-2026,80554.89,0.0,0.0,9666.59,9666.59,90221.48
INV00027,27KDDIS6778DGZY,INV/072025/00027,2025-07-15,07-2025,163391.09,0.0,0.0,29410.4,29410.4,192801.49
INV00028,27KDDIS6778DGZY,INV/022026/00028,2026-02-14,02-2026,198379.33,0.0,0.0,55546.21,55546.21,253925.54
INV00029,27KDDIS6778DGZY,INV/042025/00029,2025-04-05,04-2025,68757.09,0.0,0.0,8250.85,8250.85,77007.94
INV00030,27KDDIS6778DGZY,INV/022026/00030,2026-02-28,02-2026,206199.7,0.0,0.0,37115.95,37115.95,243315.65
INV00031,27KDDIS6778DGZY,INV/122025/00031,2025-12-27,12-2025,244032.09,0.0,0.0,68328.99,68328.99,312361.08
