vendor_id,vendor_name,vendor_gstin
V001,Modern Electricals,27KDDIS6778DGZY
V002,Pioneer Distributors,27GUPXB2182PFZV
V003,Shree Corp,09ACDKQ9146PMZR
V004,Vertex Chemicals,29YQKRK7255V6ZY
V005,Prestige Enterprises,27USDRM2889MPZQ
V006,Prime Logistics,29BCNBV5165KFZH
V007,Capital Electricals,29TXBRY6779P8ZV
V008,Bharat Traders,09KGUGV7026CIZR
V009,Silver Suppliers,27HTJOA1331MSZ9
V010,Metro Corp,09TMRNZ1718UNZ3
V011,Sun Textiles,09IBBDI3174KJZ0
V012,United Corp,33IYRXW3671YQZB
V013,Classic Traders,27SEMYC5414QOZO
V014,Elite Chemicals,06IJXBV2425KOZ2
V015,Horizon Suppliers,27GOLCG1394YCZX
V016,Royal Enterprises,06CRCHY8380GYZQ
V017,Global Enterprises,07UVGLZ0170Q0ZX
V018,Apex Electricals,27YTHJY0537C0ZM
V019,National Textiles,29ZDSRC9506HTZ0
V020,Om Suppliers,29ACLLH2286XZZJ
